path,bytes,sha256,url,motivo,eliminado_utc
geoglam/GEOGLAM_CM4EW_Calendars_V1.3.zip,554054666,6f8a32a92c29d4f95796b7e7c0a5456c03c16b29f592fd58500af3dc41a752a9,https://zenodo.org/api/records/15850408/files/GEOGLAM_CM4EW_Calendars_V1.3.zip/content,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam/extraido/GEOGLAM_CM4EW_Calendars_V1.3/GEOGLAM_CM4EW_Calendars_V1.3.cpg,5,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824,,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam/extraido/GEOGLAM_CM4EW_Calendars_V1.3/GEOGLAM_CM4EW_Calendars_V1.3.dbf,2096192,bd2a0792daab3cad20b1e440bc46c7c5d9fda4e2bb8aef1dc89ede1bc15ef6b7,,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam/extraido/GEOGLAM_CM4EW_Calendars_V1.3/GEOGLAM_CM4EW_Calendars_V1.3.prj,145,a02a27b1d1982c8516d83398e85a3c8b1aef1713c13ef4d84d7bde17430c07c4,,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam/extraido/GEOGLAM_CM4EW_Calendars_V1.3/GEOGLAM_CM4EW_Calendars_V1.3.sbn,51580,6eaaacbfc92675340f3f743de332c0d9492b4a073f12f2f39a5ce624cb2985c8,,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam/extraido/GEOGLAM_CM4EW_Calendars_V1.3/GEOGLAM_CM4EW_Calendars_V1.3.sbx,1260,ed477bb92e474a2bcf20cf905908972cc79a3f5f34a08d4b185d1f28fd6543c6,,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam/extraido/GEOGLAM_CM4EW_Calendars_V1.3/GEOGLAM_CM4EW_Calendars_V1.3.shp,845673236,5e1cb115a894f57c89655e080d716c8b4784a2f8aed0bf8d4ef39438685c2911,,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam/extraido/GEOGLAM_CM4EW_Calendars_V1.3/GEOGLAM_CM4EW_Calendars_V1.3.shx,42548,101e88e20bd413ebec454423a7aaf39814ca284e9e666af19a466f1b730d47ef,,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam/extraido/GEOGLAM_CM4EW_Calendars_V1.3/GEOGLAM_CM4EW_Calendars_V1.3.xml,2600,99984668bb779829651dfdfb5ef3804b6ff8cdc922c0f82bd14a65d9030ec3d8,,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam/extraido/GEOGLAM_CM4EW_Calendars_V1.3/ReadMe_GEOGLAM_CM4EW_Calendars.txt,4290,ff7f6fd1ea23fa63e2e275d7f1e7a698cfe97c7fdf7cdf846a88f186f2f277f2,,Sin uso: calendario GEOGLAM CM4EW v1.3 no incluye Paraguay (verificado: 86 países),2026-09-23T18:53:08.121571+00:00
geoglam_descarga.log,238,9dce2e10a7389c54fd364af53851dc24dd00e257f50fa504a1554616d35b5005,,Registro de la descarga GEOGLAM eliminada,2026-09-23T18:53:08.121571+00:00
mag/algodon/DATOS ALGODON NACIONAL 2.xlsx,309227,84c1603dca550b066555a5a9517f22f132070e2cadabb459e7a53e7664f57156,https://www.datos.gov.py/sites/default/files/DATOS%20ALGODON%20NACIONAL%202.xlsx,Redundante: algodón nacional 2011–2022 cubierto por el libro MAG de 16 cultivos,2026-09-23T18:53:08.121571+00:00
