scope_id,schema_version,source_id,sha256,disposition,reason,decided_by,decided_at,evidence
schema43_lineage_only_20260914,43,bank_reference,cd800f82e64f8f2a0b65eea781becf06df2c42cd060b366f73f17393eead8ba9,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,banks,3809900872e5af28e11ae86ecca29027159ffec268d9f059b4aa448bf0b76879,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,financial,5ebb0bcb3260e482dbf6f83e4c80aa5b7d5e50d65e3b974c6e33221d4998ca3b,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,exchange_houses,93e85a8013fb6cf2b842f72e25427bc5449f859329428edb3280e77ad999b33a,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,economic_annex,25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,payments,de7b4a670c8e2d7430cd91d609b53d8ae239db5b9ec4efe6611e331e492f5081,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,eve,9eef7e154e7e7c6f3990e0fccc4e91667e6c271f3bcacf6fcce6091d3cdbf559,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,icc,b15c74f9723cd0465d088b855aa36a670c06997a1a439c81ccf95913f9b3d3a5,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,credit_survey,58a83c5bcd64e4423fc13c407b372d283eb185de2ea452405ae3ced47f88a4ed,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,fx_operations,40495acf211c2c2d11664e42db84c028df796bcf8a65b7013ef2e6612504f90c,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,liquidity_facility,d0704796350e86652138be5232f960021933a28d186b25aebdb9b53236dd31e2,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,direct_investment,fbc612f5e64f6905a2e84928d4cdd25582ac491b647b0e5a1eab7146d059858a,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,insurance_annex,7cb2b1d2ffa3badb8113e890339f41cd2f24187ecdf925e532da24e5583fd131,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,bcp_fx_daily,a45bea1e1508bb019befcac9c545dfb03e0e537649a4d7a20d2a8bea59652091,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,exchange_rates,a822c1e0cb97438c1bde2836cca9d8b58777f2ae3f8dcb8160197345aabf62a2,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,corporate_bond_curves,e5d5a3a5c3e2b00d96d76a112c579af506be1b2446c98d531aa5d6e756de85d3,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,banking_indicators,c57dc0f6a422ac9e54dafccd2fabfd7cbc358ed67fe3be9c50a46efffad3246d,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,financial_indicators,f9ded3c4fe24e11b14caa1df69f4390a3e3367ed076e6c35b1328cbe0c3eaff3,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,interbank_market,dbcda6fadd28e3dd5bb3afc24d640ebfdf12a60742fd46fee753fcc0f5ef7766,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,securities_trades,80f03b3d8b9c898031344ee43cda6814e04e4475cb4cd52b1a03b810126c8609,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,lrm_auctions,b7e160f57d37a215d182eaeffea7d18a4e99151ebbde1efd9aa320d08ba71a37,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,compensatory_fx_sales,474d8c47b1ad9622b1bb8b29c229f87104f01dba4c461150a894d13b679812e1,admit,Authorized lineage-fixed Schema 43 source population.,juan.manuel.gonzalez,2026-09-14,Schema 43 product-scope decision following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,cda_curve,8796a589fc2bd31317efdce7865d4598473fdacd048cf04b676dc8f78e2b144c,defer,Deferred from Schema 43 for separate source-onboarding review; source evidence remains preserved.,juan.manuel.gonzalez,2026-09-14,Explicit Schema 43 deferral of cda_curve:8796a589fc2bd31317efdce7 following docs/audits/schema43_rejection_diagnosis.md.
schema43_lineage_only_20260914,43,tcn_referential_daily,74df666397a33b9c8cdfac10d7ffedd23acf7cbd5907ea21332e100fb939c0a4,defer,Deferred from Schema 43 for separate source-onboarding review; source evidence remains preserved.,juan.manuel.gonzalez,2026-09-14,Explicit Schema 43 deferral of tcn_referential_daily:74df666397a33b9c8cdfac10 following docs/audits/schema43_rejection_diagnosis.md.
schema46_cda_provisional_20260917,46,bank_reference,cd800f82e64f8f2a0b65eea781becf06df2c42cd060b366f73f17393eead8ba9,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
schema46_cda_provisional_20260917,46,banks,3809900872e5af28e11ae86ecca29027159ffec268d9f059b4aa448bf0b76879,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
schema46_cda_provisional_20260917,46,financial,5ebb0bcb3260e482dbf6f83e4c80aa5b7d5e50d65e3b974c6e33221d4998ca3b,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
schema46_cda_provisional_20260917,46,exchange_houses,93e85a8013fb6cf2b842f72e25427bc5449f859329428edb3280e77ad999b33a,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
schema46_cda_provisional_20260917,46,economic_annex,25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
schema46_cda_provisional_20260917,46,payments,de7b4a670c8e2d7430cd91d609b53d8ae239db5b9ec4efe6611e331e492f5081,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
schema46_cda_provisional_20260917,46,eve,9eef7e154e7e7c6f3990e0fccc4e91667e6c271f3bcacf6fcce6091d3cdbf559,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
schema46_cda_provisional_20260917,46,icc,b15c74f9723cd0465d088b855aa36a670c06997a1a439c81ccf95913f9b3d3a5,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
schema46_cda_provisional_20260917,46,credit_survey,58a83c5bcd64e4423fc13c407b372d283eb185de2ea452405ae3ced47f88a4ed,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
schema46_cda_provisional_20260917,46,fx_operations,40495acf211c2c2d11664e42db84c028df796bcf8a65b7013ef2e6612504f90c,admit,Carry forward the exact active Schema 46 source vintage unchanged for the bounded CDA candidate.,juan.manuel.gonzalez,2026-09-17,Bounded CDA scope decision; all non-CDA admitted hashes carry forward unchanged.
